bpm	64.5
1	0.3	0	0	0	0	0	0	
1	0.3	0	0	0	0	0	0	
1	0.3	0	0	0	0	0	0	
1	0.3	0	0	0	0	0	0	
2	0.3	0	0	0	0	0	0	
2	0.3	0	0	0	0	0	0	
2	0.3	0	0	0	0	0	0	
2	0.3	0	0	0	0	0	0	
3	0.3	0	0	0	0	0	0	
3	0.3	0	0	0	0	0	0	
3	0.3	0	0	0	0	0	0	
3	0.3	0	0	0	0	0	0	
4	0.3	5	0	5	0	0	0	
4	0.3	0	0	0	0	0	0	
4	0.3	5	0	5	0	0	0	
4	0.3	0	0	0	0	0	0	
5	0.3	5	0	5	0	0	0	
5	0.3	5	0	5	0	0	0	
5	0.3	5	0	5	0	0	0	
5	0.3	0	1	0	5	0	0	
6	0.3	8	0	5	0	1	0	
bpm	64
6	0.3	0	0	0	0	0	0	
6	0.3	7	8	5	5	1	0	
6	0.3	0	0	0	0	0	0	
7	0.3	7	0	5	0	1	0	
7	0.3	0	0	0	0	0	0	
7	0.3	0	0	0	0	0	0	
7	0.3	0	0	0	0	0	0	
8	0.3	7	8	5	5	1	0	
8	0.3	0	0	0	0	0	0	
8	0.3	4	0	5	0	0	0	
8	0.1	0	4	0	5	0	0	
8	0.1	3	0	5	0	0	0	
8	0.1	0	3	0	5	0	0	
8	0.1	2	0	5	0	0	0	
8	0.1	0	2	0	5	0	0	
9	0.1	7	0	5	0	1	0	
9	0.3	0	0	0	0	0	0	
9	0.3	0	4	0	5	0	0	
9	0.2	3	0	5	0	0	0	
9	0.2	2	0	5	0	0	0	
10	0.2	0	1	0	5	0	0	
10	0.3	0	0	0	0	0	0	
10	0.15	1	0	5	0	0	0	
10	0.075	0	1	0	5	0	0	
10	0.075	1	0	5	0	0	0	
10	0.3	0	1	0	5	0	0	
11	0.3	8	0	5	0	1	0	
11	0.3	0	0	0	0	0	0	
11	0.3	4	0	5	0	0	0	
11	0.1	0	4	0	5	0	0	
11	0.1	3	0	5	0	0	0	
11	0.1	0	3	0	5	0	0	
11	0.1	2	0	5	0	0	0	
11	0.1	0	2	0	5	0	0	
12	0.1	7	0	5	0	1	0	
12	0.3	0	0	0	0	0	0	
12	0.3	0	8	0	5	1	0	
12	0.3	0	0	0	0	0	0	
13	0.3	7	8	5	5	1	0	
13	0.3	0	0	0	0	0	0	
13	0.3	0	0	0	0	0	0	
13	0.15	0	0	0	0	1	0	
13	0.15	7	1	5	5	0	0	
14	0.3	7	0	5	0	1	0
bpm	65	
14	0.3	6	1	5	5	0	0	
14	0.3	6	0	5	0	1	0	
14	0.3	6	1	5	5	0	0	
15	0.3	6	0	5	0	1	0	
15	0.3	6	1	5	5	0	0	
15	0.3	6	0	5	0	1	0	
15	0.3	6	1	5	5	0	0	
16	0.3	7	0	5	0	1	0	
16	0.3	0	0	0	0	0	0	
16	0.3	0	0	0	0	0	0	
16	0.3	0	0	0	0	0	0	
17	0.3	7	0	5	0	1	0	
17	0.3	0	0	0	0	0	0	
17	0.3	0	0	0	0	0	0	
17	0.3	0	0	0	0	0	0	
18	0.3	4	0	5	0	0	0	
18	0.1	0	4	0	5	0	0	
18	0.1	4	0	5	0	0	0	
18	0.1	0	4	0	5	0	0	
18	0.1	4	0	5	0	0	0	
18	0.1	0	4	0	5	0	0	
18	0.1	3	0	5	0	0	0	
18	0.1	0	3	0	5	0	0	
18	0.1	2	0	5	0	0	0	
18	0.1	0	2	0	5	0	0	
18	0.1	2	0	5	0	0	0	
18	0.1	0	2	0	5	0	0	
19	0.1	7	0	5	0	1	0	
19	0.3	0	0	0	0	0	0	
19	0.3	0	1	0	0	0	0	
19	0.3	0	0	0	0	0	0	
20	0.3	0	0	0	0	0	0	
20	0.3	0	0	0	0	0	0	
20	0.3	0	0	0	0	0	0	
20	0.3	0	0	0	0	0	0	
21	0.3	5	0	5	0	0	0	
bpm	80
