bpm	120
1	0.600	0	0	0	0	0	0
1	0.600	0	0	0	0	0	0
1	0.600	0	0	0	0	0	0
1	0.600	0	0	0	0	0	0
2	0.600	1	0	5	0	0	1
2	0.150	0	1	0	5	0	1
2	0.300	1	0	5	0	0	1
2	0.300	0	1	0	5	0	1
2	0.150	1	0	5	0	0	1
2	0.300	0	1	0	5	0	1
2	0.200	1	0	5	0	0	1
2	0.150	0	1	0	5	0	1
2	0.250	1	0	5	0	0	1
3	0.300	0	1	0	5	0	1
3	0.200	1	0	5	0	0	1
3	0.150	0	1	0	5	0	1
3	0.150	1	0	5	0	0	1
3	0.300	0	1	0	5	0	1
3	0.300	1	0	5	0	0	1
3	0.150	0	1	0	5	0	1
3	0.300	1	0	5	0	0	1
3	0.150	0	1	0	5	0	1
3	0.150	1	0	5	0	0	1
4	0.300	0	1	0	5	0	1
4	0.300	1	0	5	0	0	1
4	0.150	0	1	0	5	0	1
4	0.150	1	0	5	0	0	1
4	0.150	0	1	0	5	0	1
4	0.300	1	0	5	0	0	1
4	0.300	0	1	0	5	0	1
4	0.150	1	0	5	0	0	1
4	0.250	0	1	0	5	0	1
4	0.200	1	0	5	0	0	1
4	0.150	0	1	0	5	0	1
5	0.300	1	0	5	0	0	1
5	0.300	0	1	0	5	0	1
5	0.150	1	0	5	0	0	1
5	0.300	0	1	0	5	0	1
5	0.150	1	0	5	0	0	1
5	0.300	0	1	0	5	0	1
5	0.150	1	0	5	0	0	1
5	0.300	0	1	0	5	0	1
5	0.150	1	0	5	0	0	1
5	0.300	0	1	0	5	0	1
6	0.300	1	8	5	5	1	1
6	0.600	0	0	0	0	0	0
6	0.600	0	0	0	0	0	0
6	0.600	0	0	0	0	0	0
7	0.600	0	0	0	0	0	0
end	100
